MRUN;PF_PJE;INSTR_PJE;M1D1_PJE;M1D2_PJE;M1D3_PJE;M1D4_PJE;M2D5_PJE;M2D6_PJE;M2D7_PJE;PF_ESC;M1D1_ESC;M1D2_ESC;M1D3_ESC;M1D4_ESC;M2D5_ESC;M2D6_ESC;M2D7_ESC
16294473;2.63;2.98;3.33;2.67;2.5;1.5;2.67;3;2.75;C;D;C;B;I;C;C;C
7757465;1.67;2;1;1.33;1;1;2.67;2.17;2.5;I;I;I;I;I;C;B;B
15394520;1.69;2.21;1.67;1.17;1.25;1.25;2.67;2.17;1.63;I;I;I;I;I;C;B;I
14657137;2.3;2.68;3;1.67;2.5;2;2.33;2.33;2.25;B;C;I;B;B;B;B;B
3799699;2.92;3.05;3.33;2.33;3.5;3;3;3;2.25;C;D;B;D;C;C;C;B
14705493;2.19;2.3;2.33;1.83;2.5;2.25;2;2.67;1.75;B;B;B;B;B;B;C;I
17509503;2.24;2.64;2.67;2;2.5;1.5;2.67;2.33;2;B;C;B;B;I;C;B;B
16502747;2.69;2.91;3.33;2.33;2;3;3;2.67;2.5;C;D;B;B;C;C;C;B
15577929;2.3;2.58;1.67;2.67;2.5;2.5;3;2;1.75;B;I;C;B;B;C;B;I
9428315;2.39;2.73;2.83;3.17;2.5;2.75;1.67;2.33;1.5;B;C;C;B;C;I;B;I
15520090;2.28;2.67;2.83;1.67;2;1.75;3;2.33;2.38;B;C;I;B;I;C;B;B
301161;1.98;2.49;2.83;1;1;2.25;2.67;2.33;1.75;B;C;I;I;B;C;B;I
10666782;2.32;2.59;2.5;1.67;1.25;2.5;3;2.83;2.5;B;B;I;I;B;C;C;B
23570523;2.18;2.61;3;1;2;1;3;3;2.25;B;C;I;B;I;C;C;B
20431113;2.37;2.72;2.67;1.33;3.5;2;2.67;2.67;1.75;B;C;I;D;B;C;C;I
8545250;2.84;2.9;3.33;2.33;2.5;3.5;3;3;2.25;C;D;B;B;D;C;C;B
7024894;2.44;2.76;2;2;2;3.5;3;2.33;2.25;B;B;B;B;D;C;B;B
6865425;2.61;2.87;2.67;3.33;3;2;2.67;2.33;2.25;C;C;D;C;B;C;B;B
15307298;1.95;2.37;1;2.33;1.5;1.5;2.33;3;2;B;I;B;I;I;B;C;B
21436877;2.2;2.72;2.67;2.33;2;1.5;3;1.67;2.25;B;C;B;B;I;C;I;B
6208819;1.76;2.36;1.67;1.33;2.5;1;2.33;2;1.5;B;I;I;B;I;B;B;I
23270389;2.64;2.78;2.17;2;3;2.25;3.33;3;2.75;C;B;B;C;B;D;C;C
19264464;2.49;2.69;3;2.67;2.5;2.5;3;2;1.75;B;C;C;B;B;C;B;I
12761409;2.32;2.69;2.67;1.33;3;2;2.67;2.33;2.25;B;C;I;C;B;C;B;B
19151520;2.5;2.8;3;2;2.5;2.5;2.67;3.33;1.5;B;C;B;B;B;C;D;I
24853684;2.61;2.57;3.33;1.17;2.25;2.75;3;3;2.75;C;D;I;B;C;C;C;C
20272545;2.4;2.74;2.33;3;2.5;2;2.67;2.33;2;B;B;C;B;B;C;B;B
17554619;1.77;2.26;2;1.67;1;1;2.67;2.17;1.88;B;B;I;I;I;C;B;B
15341154;2.67;2.9;3;2.83;2.5;2;2.83;3;2.5;C;C;C;B;B;C;C;B
11312088;2.45;2.67;2.5;2.17;2.25;1.75;3;3;2.5;B;B;B;B;I;C;C;B
13574060;1.87;2.22;2.17;1.17;2;1;2.83;2.17;1.75;B;B;I;B;I;C;B;I
22414047;2.61;2.77;3;2.67;2;3;2.67;2.67;2.25;C;C;C;B;C;C;C;B
7328188;2.2;2.62;2;2.33;2;1.5;2.83;2.33;2.38;B;B;B;B;I;C;B;B
20927654;2.33;2.4;2.67;1.33;2.25;2.25;3;2.33;2.5;B;C;I;B;B;C;B;B
5395164;2.52;2.81;2.67;2.67;2.5;2;3;2.67;2.13;C;C;C;B;B;C;C;B
1993668;1.69;2.01;1.33;1;1.5;1.5;3;2;1.5;I;I;I;I;I;C;B;I
10781107;2.67;3;2.67;2.33;2.5;1.5;3.33;3.33;3;C;C;B;B;I;D;D;C
8081190;2.51;2.71;3.33;2.33;1;2.5;3;2.67;2.75;C;D;B;I;B;C;C;C
3698285;2.29;2.57;2.5;2.5;2.5;2.75;2.67;1.33;1.75;B;B;B;B;C;C;I;I
5267985;1;1.8;1;1;1;1;1;1;1;I;I;I;I;I;I;I;I
4579808;2.45;2.67;2.33;2;2.5;2.5;2.67;3;2.13;B;B;B;B;B;C;C;B
21090930;2.63;2.88;2.83;2;2.5;2;3.33;3;2.75;C;C;B;B;B;D;C;C
13232233;2.22;2.63;1.67;2.67;3;1.5;2.83;2;1.88;B;I;C;C;I;C;B;B
17277980;2.52;2.81;2.5;2.5;3;2;3;2.67;2;C;B;B;C;B;C;C;B
20664354;2.19;2.51;2.67;1.67;1;2;3;3;2;B;C;I;I;B;C;C;B
20644078;2.2;2.62;3;1.67;2.5;1.5;3;2;1.75;B;C;I;B;I;C;B;I
15125980;1.88;2.23;3;2;1;1;3;1.67;1.5;B;C;B;I;I;C;I;I
10284332;2.7;2.92;2;3.67;3;2;3;3;2.25;C;B;D;C;B;C;C;B
18192257;1.97;2.38;2;1.67;1.5;1.5;2.67;2.67;1.75;B;B;I;I;I;C;C;I
8615467;2.77;2.96;3.33;2.33;2;3.5;3.33;2.67;2.25;C;D;B;B;D;D;C;B
1214914;3;3;3;4;3;3;3;3;2;C;C;D;C;C;C;C;B
2197222;2.49;2.79;3.33;1.33;3;1.5;3;3;2.25;B;D;I;C;I;C;C;B
23118528;2.11;2.57;1.67;2.33;2;1.5;2.67;3;1.63;B;I;B;B;I;C;C;I
7421287;2.61;2.87;3;2;3;2;3;3;2.25;C;C;B;C;B;C;C;B
16412847;1.58;2.15;1.67;1;1;1;2.67;2;1.75;I;I;I;I;I;C;B;I
12566439;2.31;2.59;3;2;2.5;1;2.67;3;2;B;C;B;B;I;C;C;B
9849831;1.99;2.49;2;1.67;1;1;3;3;2.25;B;B;I;I;I;C;C;B
1689223;2.17;2.4;2;1;3;1.5;2.67;3;2;B;B;I;C;I;C;C;B
135011;2.12;2.47;2;2.33;2;1.5;2.67;2.33;2;B;B;B;B;I;C;B;B
24914801;2.08;2.31;2;1.5;2;2;2.67;2.5;1.88;B;B;I;B;B;C;B;B
